Market,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2026 Q1,2026 Q2 EST,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1
Akron - OH,704150.6875,704013.1875,703787.0,703921.8125,704009.5,704079.25,704133.0,704079.0,703994.3125,703897.375,703815.0,703677.6875,703536.6875,703375.625,703235.0,702886.75,702554.6875,702210.5,701666.875,700291.0625,698740.4375,697356.0625,696252.6875,696471.3125,696788.0,697153.0,697739.5,697971.625,698297.4375,698747.625,699167.75,699509.5625,699948.3125,700475.875,700868.5625,701391.4375,701849.125,701613.0,701288.875,700995.4375,700632.1875,700153.375,699683.25,699179.6875,698643.9375,698076.0,697473.0,696833.375,696157.5,695508.5,694897.5625,694323.75,693790.5625,693285.0,692810.4375,692365.3125,691949.8125,691562.0625,691204.5,690877.625,690579.25
Albany - NY,891076.3125,891859.6875,892531.0,893670.125,894749.5,895805.9375,896842.0,897462.125,898042.8125,898608.1875,899192.0,898994.0625,898791.375,898563.1875,898361.0,898646.125,898952.0625,899242.625,900542.9375,901625.4375,902478.5625,903542.1875,904967.0,904685.5,904532.5625,904443.125,904641.8125,905689.5625,906859.0,908190.625,909483.25,911917.3125,914477.4375,917154.0,919654.125,917516.1875,915800.875,913802.1875,912327.5625,911688.4375,911178.75,910455.375,909942.0625,909495.4375,909183.3125,908889.0,908596.375,908300.4375,907999.6875,907734.0625,907536.3125,907388.5,907238.25,907126.375,907053.6875,907030.0,907047.625,907107.4375,907209.3125,907349.5,907532.3125
Albuquerque - NM,904130.0,904874.875,905506.0,906161.3125,906755.8125,907327.1875,907878.0,908417.75,908917.75,909402.0,909905.0,910651.8125,911393.625,912109.625,912852.0,914106.3125,915382.0,916641.75,917677.6875,918146.3125,918384.8125,918841.0,919667.75,919488.75,919439.5625,919454.125,919760.6875,920327.5625,921017.8125,921872.1875,922686.8125,923102.4375,923645.6875,924306.25,924788.875,925705.375,926507.6875,926337.6875,925996.0,926314.25,926599.4375,926693.9375,926770.875,926768.8125,926759.5625,926763.4375,926766.4375,926743.75,926714.625,926716.6875,926762.6875,926833.125,926952.6875,927100.25,927279.8125,927471.5,927691.875,927945.625,928231.0,928568.1875,928948.125
Anchorage - AK,401360.5,402133.0,402855.0,402706.09375,402530.3125,402344.21875,402149.0,401472.8125,400779.0,400078.40625,399386.0,399076.375,398764.59375,398441.5,398130.0,398188.59375,398256.5,398317.5,398366.6875,398766.5,399066.5,399460.90625,400016.59375,400074.0,400187.71875,400329.0,400597.5,400929.59375,401315.3125,401772.3125,402211.90625,402920.5,403684.21875,404498.59375,405234.5,405740.21875,406188.375,406217.1875,406168.625,406145.59375,406134.0,406094.40625,406073.21875,406074.875,406093.0,406128.6875,406179.0,406249.59375,406334.5,406436.5,406564.09375,406699.5,406856.28125,407040.40625,407250.09375,407481.125,407739.6875,408026.5,408342.8125,408646.90625,408982.09375
Asheville - NC,389898.71875,391292.375,392637.0,393783.125,394902.8125,396012.375,397113.0,398094.5,399058.5,400015.6875,400981.0,401849.90625,402716.71875,403572.0,404439.0,405263.0,406096.40625,406922.78125,407591.875,408414.40625,409134.3125,409950.90625,410933.0,411650.375,412425.6875,413229.8125,414165.59375,415061.0,416011.90625,417037.28125,418044.90625,419125.40625,420263.3125,421454.3125,422563.8125,423668.0,424830.09375,425671.28125,426550.90625,427517.40625,428546.375,429459.8125,430296.90625,431077.0,431805.0,432487.5,433116.3125,433691.3125,434208.90625,434743.28125,435301.59375,435886.40625,436494.59375,437117.0,437756.59375,438386.8125,439033.90625,439698.3125,440378.28125,441075.8125,441789.0
Atlanta - GA,5760703.0,5787387.0,5813344.0,5835625.0,5857516.0,5879257.0,5900864.0,5920036.0,5938950.0,5957761.0,5976694.0,5996216.0,6015706.0,6035024.0,6054518.0,6071908.0,6089439.0,6106865.0,6120919.0,6130778.0,6139099.0,6148873.0,6161128.0,6182495.0,6204727.0,6227387.0,6252033.0,6271797.0,6292398.0,6314123.0,6335578.0,6357055.0,6379413.0,6402584.0,6424526.0,6445687.0,6466592.0,6481471.0,6495768.0,6510830.0,6526342.0,6540872.0,6555096.0,6569306.0,6583395.0,6597338.0,6611131.0,6624966.0,6638691.0,6652679.0,6667048.0,6681872.0,6696999.0,6712519.0,6728335.0,6744485.0,6760942.0,6777655.0,6794641.0,6812023.0,6829729.0
Augusta - GA,591323.9375,592728.6875,594059.0,595348.375,596598.0,597832.25,599053.0,600068.8125,601058.3125,602037.5,603029.0,604204.875,605377.625,606533.0,607706.0,608792.75,609893.6875,610984.0625,612206.8125,613222.75,614084.75,615092.25,616347.6875,618278.0625,620295.25,622355.25,624613.6875,626111.3125,627692.5,629385.6875,631051.875,632737.1875,634509.1875,636361.5,638090.6875,639386.0,640637.375,641288.875,641905.0,642586.625,643264.0,643843.375,644461.4375,645060.125,645641.75,646217.0,646772.1875,647303.5,647808.625,648328.9375,648876.75,649441.375,650020.875,650613.5625,651224.6875,651852.8125,652496.5,653158.3125,653832.0,654517.875,655215.0
Austin - TX,2034704.0,2049983.875,2065007.125,2078534.875,2091925.0,2105261.0,2118549.0,2131416.0,2144190.0,2156927.0,2169708.0,2185146.0,2200572.0,2215935.0,2231362.0,2248682.0,2266055.0,2283389.0,2300117.0,2314833.0,2328964.0,2343644.0,2359273.0,2376616.0,2394290.0,2412128.0,2430739.0,2445597.0,2460779.0,2476400.0,2491917.0,2506861.0,2522153.0,2537769.0,2552899.0,2568061.0,2582927.0,2595201.0,2606936.0,2618762.0,2630570.0,2641804.0,2652994.0,2664132.0,2675297.0,2686491.0,2697631.0,2708710.0,2719735.0,2730879.0,2742150.0,2753625.0,2765332.0,2777282.0,2789373.0,2801648.0,2814173.0,2826919.0,2839812.0,2852844.0,2866166.0
Bakersfield - CA,883279.3125,884696.3125,886002.0,887814.6875,889568.125,891298.6875,893009.0,894813.0,896577.8125,898327.1875,900095.0,901621.1875,903142.5,904638.125,906160.0,907175.75,908212.5,909233.5625,906258.125,907920.5625,909355.4375,911005.625,913023.625,913790.5,914685.75,915643.9375,916893.125,916567.6875,916365.5,916326.5,916247.9375,917320.1875,918519.3125,919835.0,920973.375,920759.375,920637.375,919790.25,919052.4375,918723.5625,918524.625,918356.3125,918429.3125,918651.9375,918983.0,919439.0,920023.3125,920706.1875,921485.6875,922300.4375,923165.875,924075.6875,925038.3125,926038.3125,927083.125,928177.5,929314.375,930499.5625,931724.5,932991.8125,934295.6875
Baltimore - MD,2816932.0,2819289.0,2821292.0,2823673.0,2825865.0,2827985.0,2830041.0,2831946.0,2833727.0,2835459.0,2837249.0,2838570.0,2839875.0,2841099.0,2842406.0,2844544.0,2846749.0,2848904.0,2847156.0,2846770.0,2845670.0,2845246.0,2845968.0,2844295.0,2843025.0,2841953.0,2841786.0,2841362.0,2841320.0,2841786.0,2842129.0,2843969.0,2846204.0,2848801.0,2850850.0,2853876.0,2856632.0,2856625.0,2856295.0,2856382.0,2856455.0,2856006.0,2855590.0,2855141.0,2854734.0,2854366.0,2854014.0,2853653.0,2853290.0,2853036.0,2852941.0,2853001.0,2853224.0,2853607.0,2854157.0,2854919.0,2855844.0,2856929.0,2858183.0,2859594.0,2861206.0
